@relation segment

@attribute original numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Mitochondria,Background}

@data
79.722704,62.772464,3694.553435,26.444738,51.4532,3388.631156,70.414549,43.969811,85.282856,8482.75108,61.167774,34.723036,-9.246775,138.309304,11031.757944,Background
3.888699,13.960845,864.432087,44.416665,27.493474,2891.407965,92.358432,47.941767,75.532361,8982.788539,93.130537,48.713872,0.772105,127.021953,11327.277646,Background
111.416,98.416197,7527.351032,-4.044899,81.486907,8222.892884,29.350201,33.3951,83.966038,9668.279103,35.141119,39.186019,5.790919,118.808821,11358.600584,Background
184.084885,142.817553,7127.672168,-28.493425,104.461968,8629.191578,-2.393862,26.099564,88.402071,10095.019665,5.255622,33.749047,7.649484,114.878368,11377.872006,Background
207.583501,162.76092,5747.140394,-39.067752,114.589594,8483.884918,-16.469799,22.597953,91.196169,10454.055633,-7.852141,31.215611,8.617658,113.399741,11344.773215,Background
14.833359,15.233352,177.349583,16.551908,18.064128,252.367445,25.960332,9.408424,36.899261,1531.580073,27.691907,11.139999,1.731574,46.052601,1893.951942,Background
27.722215,21.833201,241.664727,14.697796,21.241287,374.121718,22.864824,8.167028,40.883007,1741.115875,24.320545,9.62275,1.455722,47.46082,1983.472493,Background
14,21.800025,397.417086,13.411052,30.128226,639.207303,19.33482,5.923769,44.967974,1675.292349,21.679214,8.268163,2.344394,47.03001,2240.848481,Background
27.499832,30.7332,557.381225,7.198201,34.185824,735.462583,12.700463,5.502262,42.005476,1451.458052,16.174357,8.976157,3.473894,45.869963,2377.481765,Background
53.249802,47.616494,576.613457,-2.921079,41.640892,701.791446,1.706043,4.627122,40.391877,1443.931272,5.813158,8.734237,4.107115,44.976369,2429.080024,Background
66.250198,56.950112,366.107033,-7.571698,47.307731,570.620777,-4.020524,3.551174,41.79485,1495.50092,-0.278447,7.29325,3.742076,45.777555,2528.269737,Background
69.5,64.600007,332.227706,-10.498624,59.358985,669.509244,-10.426529,0.072095,48.387354,1606.831686,-8.273828,2.224796,2.152701,48.830044,2778.895667,Background
81.166687,78.083363,501.026259,-15.274188,72.371837,957.796486,-18.693057,-3.41887,55.651109,1565.263479,-19.5007,-4.226512,-0.807643,54.092193,3281.407794,Background
102.916397,94.933164,679.669242,-21.891891,82.115285,1141.270223,-27.508966,-5.617075,59.541146,1673.398387,-30.420868,-8.528977,-2.911902,57.422161,3590.627141,Background
118.167084,104.200271,708.235428,-21.022479,89.153922,1290.349197,-27.860433,-6.837954,66.259974,2377.035918,-34.959822,-13.937342,-7.099388,64.322978,4224.663446,Background
104.5,95.400002,1185.75,-14.12566,86.692308,1576.022415,-20.864573,-6.738913,69.560439,2711.08963,-29.518536,-15.392876,-8.653963,66.783382,4440.215881,Background
90.833542,86.600135,1663.242714,-7.229156,84.230807,1861.682556,-13.869032,-6.639876,72.860754,3045.128051,-24.077498,-16.848342,-10.208467,69.243675,4655.75845,Background
72.000732,75.217094,1853.819612,1.104822,80.750137,2136.636101,-5.438979,-6.543801,76.631736,3454.110333,-17.290136,-18.394958,-11.851156,71.882112,4878.64015,Background
48,61.25,1757.450012,10.876854,76.25,2400.894165,4.426168,-6.450686,80.873625,3938.065491,-9.155951,-20.032805,-13.58212,74.698839,5108.872192,Background
14.25,39.05,1925.824963,30.693666,70.019231,3767.445496,23.324125,-7.369541,93.285715,5387.010864,4.358894,-26.334772,-18.965231,83.688679,5756.534302,Background
15.749977,38.21668,2134.438405,34.133089,70.365379,4414.219847,26.057875,-8.075214,97.318621,5869.026703,5.234842,-28.898246,-20.823033,86.865215,5958.08095,Background
46.499817,66.633159,3995.489342,26.121051,90.281932,6078.847567,13.242846,-12.878205,111.134545,6719.68325,-13.256339,-39.37739,-26.499185,96.696733,6555.969297,Background
78,95.099998,3869.424988,13.737799,111.76923,5901.695435,-3.556681,-17.294479,121.002748,6624.77417,-33.750093,-47.487892,-30.193413,103.10704,6901.406494,Background
94.999741,110.233099,3551.146438,6.780028,123.461358,5604.761896,-12.865225,-19.645253,126.008167,6480.215666,-44.888444,-51.668472,-32.023219,106.2814,7065.411641,Background
113.49939,124.899562,3078.860687,0.287421,133.845874,5020.307496,-21.560296,-21.847718,130.545664,6288.48068,-55.319786,-55.607207,-33.75949,109.444269,7212.633877,Background
153.499695,153.299777,1826.217911,-11.767656,151.99986,3276.264405,-37.72375,-25.956094,138.68492,5810.638167,-74.768769,-63.001113,-37.04502,115.747168,7473.515425,Background
168.416367,163.466474,1309.345807,-15.640584,158.769094,2535.786798,-43.219356,-27.578772,142.193133,5589.552997,-81.752819,-66.112235,-38.533463,118.913182,7576.372499,Background
178.25,169.599995,901.900021,-17.358921,163.23077,1926.817337,-46.128923,-28.770002,145.14011,5386.290771,-85.996593,-68.637672,-39.86767,122.093977,7651.64978,Background
188.916916,177.516742,296.549639,-19.003739,170.916609,958.10701,-49.730908,-30.727169,150.844244,4981.962084,-92.050606,-73.046866,-42.319698,128.146755,7804.617062,Background
183.916763,173.983304,284.082594,-18.560972,167.480606,685.479031,-47.324137,-28.763165,148.034634,4433.842818,-87.996725,-69.435754,-40.672588,126.96191,7695.077749,Background
174.111301,170.100079,239.283451,-18.156835,168.03421,435.867689,-45.686516,-27.529682,146.899392,3847.053567,-85.196714,-67.039879,-39.510198,127.267334,7710.858574,Background
172.666641,170.033322,458.456924,-20.234417,168.23075,783.667756,-45.873036,-25.638618,143.206956,3410.321683,-83.379503,-63.145086,-37.506467,125.804163,7691.721925,Background
181.610925,173.788782,644.025649,-24.266928,165.910166,947.31327,-47.995194,-23.728267,137.576485,3098.854355,-82.880185,-58.613257,-34.88499,122.252181,7553.839085,Background
168.249435,158.482978,1955.989912,-21.701919,147.85239,2199.203911,-39.410879,-17.70896,120.438516,3350.942526,-65.242189,-43.54027,-25.83131,110.913151,6904.323954,Background
66.583069,91.249889,1416.489897,1.911449,113.320575,1851.160418,-13.206208,-15.117658,109.65731,4232.984192,-26.264079,-28.175528,-13.057871,94.630862,5787.268379,Background
82.416542,100.083239,1390.488879,-5.275393,114.474311,1668.066551,-20.524063,-15.248671,105.46613,4801.480906,-29.401106,-24.125713,-8.877042,89.616975,5557.863888,Background
104.166473,107.883083,865.815968,-10.876,110.910042,1730.146045,-24.81241,-13.936409,99.121705,5151.221408,-29.260873,-18.384873,-4.448463,83.990974,5218.44695,Background
113.333165,108.994328,573.782657,-12.292781,105.43799,1869.53285,-24.730549,-12.437768,93.77348,5169.683218,-26.649414,-14.356633,-1.918865,80.21754,4880.198207,Background
105.30607,97.055997,829.441563,-8.403032,92.829383,1921.614818,-17.519513,-9.11648,84.146662,4742.551125,-16.495006,-8.091974,1.024506,74.799188,4273.979193,Background
68.916801,77.950085,1254.957547,-5.885221,84.115427,1753.049675,-11.823951,-5.93873,71.901996,3155.650558,-8.294016,-2.408795,3.529935,67.240189,3484.726403,Background
